seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991,category,severity,pct_change,early_mean,late_mean,tau,p_value,sens_slope_m3s_yr,norm_slope_pct_yr,min_year,min_flow_m3s
1429,Padma,1,32,2481.03,Torai Dam,325.84,,24,4,Drying,Mild Drying,-8.7962928754183,28389.549558806822,25892.32163360215,-0.1729264475743349,0.0320481165907566,-49.75678315750211,-0.1833080784306641,2022,16109.842
1445,Padma,1,32,2481.03,Torai Dam,268.56,,24,4,Drying,Mild Drying,-8.798185538801851,28292.052967670457,25802.86565483871,-0.1729264475743349,0.0320481165907566,-48.78308393464057,-0.1803447818956273,2022,16021.877
1495,Padma,1,0,0.0,,,,0,0,Stable,Stable,-7.46517675237002,17.775532533598486,16.448557611290322,-0.1369327073552425,0.0897769955648337,-0.040542718079922,-0.2374281047408394,2022,8.530096
1496,Padma,1,0,0.0,,,,0,0,Stable,Stable,-7.191632950680135,59.81659937984848,55.51480910887097,-0.0758998435054773,0.3481310090480654,-0.0978948429643361,-0.1701408868555551,2012,23.56328016666667
1497,Padma,1,32,2481.03,Torai Dam,304.33,,24,4,Drying,Mild Drying,-8.795145749669572,28356.399783901514,25862.413093548388,-0.1729264475743349,0.0320481165907566,-49.27084367753627,-0.1817322255206226,2022,16057.462
1523,Padma,1,32,2481.03,Torai Dam,178.24,,24,4,Stable,Stable,-8.080689762590291,12861.499447386364,11822.201578225808,-0.149452269170579,0.0640064196823606,-27.91210390394092,-0.2258101428264621,2014,7012.4120416666665
1525,Padma,1,0,0.0,,,,0,0,Drying,Mild Drying,-9.403836414466682,15380.35927155303,13934.015445698924,-0.1807511737089202,0.0250238140282939,-30.124371466920095,-0.2057730746349624,2022,6882.9253
1526,Padma,1,0,0.0,,,,0,0,Stable,Stable,-5.076335973449964,16.244498937632578,15.419873594354838,-0.0610328638497652,0.4511535370128277,-0.0165691194351119,-0.1049456548720081,2012,7.41813345
1527,Padma,1,32,2481.03,Torai Dam,237.77,,24,4,Drying,Mild Drying,-8.801253914811547,28241.927314280307,25756.28358091398,-0.1729264475743349,0.0320481165907566,-48.66480808558576,-0.1802362621762037,2022,15918.755
1528,Padma,1,0,0.0,,,,0,0,Stable,Stable,-4.133162081346923,43.70418428772727,41.89781951478495,-0.0093896713615023,0.9109751026871792,-0.0076584951804916,-0.017970483188422,2012,17.2870404
